Model,Classes,Accuracy,Precision,Recall,F1-Score
Binary Logistic Regression,2,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219
Multi-Class Softmax Regression,2,0.9736842105263158,0.9737105878629081,0.9736842105263158,0.9736164257756981
